City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Rikitea,PF,77.49,Few clouds,-23.12,-134.97,Pension Maro'i
Vaini,TO,82.4,Scattered clouds,-21.2,-175.2,Keleti Beach Resort
Hithadhoo,MV,83.73,Overcast clouds,-0.6,73.08,Scoop Guest House
Kapaa,US,78.8,Clear sky,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Boa Vista,BR,77.0,Thunderstorm,2.82,-60.67,Aipana Plaza Hotel
Cabo San Lucas,MX,75.0,Clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
Atuona,PF,82.17,Overcast clouds,-9.8,-139.03,Villa Enata
Det Udom,TH,89.01,Scattered clouds,14.91,105.08,Chatsuda Resort
Vao,NC,76.46,Scattered clouds,-22.67,167.48,Hotel Kou-Bugny
Kuliyapitiya,LK,77.0,Few clouds,7.47,80.04,Rest House
Hilo,US,82.4,Few clouds,19.73,-155.09,Hilo Hawaiian Hotel
Quatre Cocos,MU,75.0,Scattered clouds,-20.21,57.76,Veranda Palmar Beach Hotel
Poum,NC,78.91,Scattered clouds,-20.23,164.02,Gîte kajeon
Grand Gaube,MU,75.0,Light rain,-20.01,57.66,Veranda Paul et Virginie Hotel & Spa
Avarua,CK,82.4,Broken clouds,-21.21,-159.78,Paradise Inn
Ibra,OM,76.39,Scattered clouds,22.69,58.53,مزرعة راحة النفوس المنزفة
Iralaya,HN,82.4,Few clouds,15.0,-83.23,Iglesia morava renovada
Cockburn Town,TC,78.6,Scattered clouds,21.46,-71.14,Osprey Beach Hotel
Dhidhdhoo,MV,86.45,Scattered clouds,6.88,73.1,Dhidhoo beach
Severiano Melo,BR,76.15,Broken clouds,-5.78,-37.96,Chácara Bela Vista
Sabha,LY,76.71,Clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
Kiunga,PG,79.0,Overcast clouds,-6.12,141.29,Airport Lodge Kiunga
Wanning,CN,78.26,Clear sky,18.8,110.4,Paradise Hotel
Kuchera,IN,76.98,Broken clouds,26.98,73.97,Saini Tee Stole
San Blas,MX,80.6,Broken clouds,21.52,-105.27,Hotel Posada del Rey
Mahebourg,MU,75.0,Scattered clouds,-20.41,57.7,Shandrani Beachcomber Resort & Spa
New Amsterdam,GY,78.87,Scattered clouds,6.25,-57.52,Little Rock Suites
Yulara,AU,75.2,Scattered clouds,-25.24,130.99,Desert Gardens Hotel - Ayers Rock Resort
Puerto Ayora,EC,82.4,Broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
Mariental,,77.05,Broken clouds,-24.63,17.97,Mariental Hotel
Alim,PH,84.87,Clear sky,9.56,122.49,Calamai Tropica
Larap,PH,81.73,Broken clouds,14.3,122.65,Mambulao Pacific Resort & Hotel
Arlit,NE,83.7,Clear sky,18.74,7.39,Hôtel Telwa Bungalow
San Pedro,PH,89.01,Scattered clouds,14.35,121.02,Palines Apartment and Guesthouse
Santa Rosalia,MX,75.58,Clear sky,27.32,-112.28,Hotel Las Casitas Santa Rosalia
Atambua,ID,78.22,Broken clouds,-9.11,124.89,Pondok Pesantren Al Muhajirin Atambua
Ocampo,MX,76.64,Broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
Laguna De Perlas,NI,80.89,Clear sky,12.34,-83.67,Hotel Best View
Kununurra,AU,89.6,Broken clouds,-15.77,128.73,Hotel Kununurra
Bambous Virieux,MU,75.0,Scattered clouds,-20.34,57.76,Casa Tia Villa
Lakatoro,VU,86.0,Broken clouds,-16.1,167.42,Lakatoro Palm Lodge
Sola,VU,87.8,Broken clouds,-13.88,167.55,Leumerus Bungalows
Daru,PG,84.15,Scattered clouds,-9.08,143.21,New century hotel
Qui Nhon,VN,78.75,Scattered clouds,13.77,109.23,Seagull Hotel
Victoria,HK,79.0,Broken clouds,22.29,114.16,Mini Hotel Central
Taoudenni,ML,77.38,Scattered clouds,22.68,-3.98,
Kavaratti,IN,84.6,Clear sky,10.57,72.64,Bismillah Hotel And Lodging
Quang Ngai,VN,78.03,Scattered clouds,15.12,108.8,Central Hotel
Santo Tomas,PH,89.01,Scattered clouds,14.11,121.14,St. Thomas Homes Subdivision
Alice Springs,AU,77.0,Few clouds,-23.7,133.88,Desert Palms Alice Springs
Pumiao,CN,75.2,Broken clouds,22.75,108.48,Mushang Boutique Hotel
Tessalit,ML,84.18,Clear sky,20.2,1.01,
Diffa,NE,83.34,Scattered clouds,13.32,12.61,ProDAF/Diffa
Georgetown,MY,84.2,Few clouds,5.41,100.34,Cititel Penang
Porto Velho,BR,78.8,Scattered clouds,-8.76,-63.9,Ecos Hotel Conforto
Manjeshwar,IN,80.6,Few clouds,12.72,74.89,THE NOUSHA VILLAGE
Gao,ML,84.92,Scattered clouds,16.64,1.64,
Carnarvon,AU,75.2,Overcast clouds,-24.87,113.63,Hospitality Carnarvon
Makakilo City,US,82.4,Clear sky,21.35,-158.09,Marriott's Ko Olina Beach Club
Chabahar,IR,77.0,Scattered clouds,25.29,60.64,هتل گدروشیا
Dwarka,IN,79.92,Few clouds,22.24,68.97,Hotel Narayan Avezika Comfort
Remedios,CU,82.4,Scattered clouds,22.49,-79.55,Hostal Yunai
Cap Malheureux,MU,75.0,Light rain,-19.98,57.61,Pereybere Hotel & Spa
Kloulklubed,PW,82.4,Broken clouds,7.04,134.26,Storyboard Beach Resort
Waingapu,ID,81.73,Broken clouds,-9.66,120.26,Pondok Wisata Elim
Mangrol,IN,79.25,Scattered clouds,21.12,70.12,Hotel The Royal Honours
Kupang,ID,77.0,Few clouds,-10.17,123.58,Sylvia Hotel Premier Kupang
Manaure,CO,81.93,Clear sky,11.78,-72.44,Del mar vendra
Chenghai,CN,77.0,Scattered clouds,23.46,116.77,Guangdong Hotel
Merta,IN,76.89,Overcast clouds,26.65,74.03,Raj Shree Hotel
Port Blair,IN,83.97,Few clouds,11.67,92.75,Hotel Sentinel
Vung Tau,VN,82.22,Overcast clouds,10.35,107.08,Seaside Resort
Mount Isa,AU,84.2,Few clouds,-20.73,139.5,ibis Styles Mt Isa Verona
Yanam,IN,79.9,Clear sky,16.73,82.22,The Regency Hotel
Mattru,SL,76.95,Overcast clouds,7.62,-11.83,Boima Gbondo's Compound
Pemangkat,ID,76.89,Overcast clouds,1.17,108.97,Kost H.Syamsuddin
Gogrial,SS,82.98,Broken clouds,8.53,28.1,
Paita,PE,75.9,Clear sky,-5.09,-81.11,Hotel Náutico de Paita
Honavar,IN,80.51,Broken clouds,14.28,74.45,Hotel Sagar Residency
Ati,TD,82.36,Clear sky,13.22,18.34,
Koumac,NC,81.23,Scattered clouds,-20.57,164.28,Le Monitel
Touros,BR,78.8,Broken clouds,-5.2,-35.46,INN NEW HORIZON
Savannah Bight,HN,81.63,Clear sky,16.45,-85.85,Villa on Dunbar Rock
Kattivakkam,IN,84.0,Scattered clouds,13.22,80.32,St. Joseph Thirumana mandapam
Salalah,OM,80.6,Scattered clouds,17.02,54.09,HAMDAN PLAZA HOTEL
Manggar,ID,82.06,Overcast clouds,-2.88,108.27,Guest Hotel
Caravelas,BR,76.51,Overcast clouds,-17.71,-39.25,Pousada dos Navegantes
Bairiki,KI,86.0,Scattered clouds,1.33,172.98,Tarawa Boutique Hotel
Gladstone,AU,78.8,Broken clouds,-23.85,151.25,Metro Hotel and Apartments Gladstone
Porto Novo,BJ,82.4,Scattered clouds,6.5,2.6,Tour Eiffel Hotel Benin
Itarema,BR,77.56,Scattered clouds,-2.92,-39.92,Windvillage
Ixtapa,MX,75.2,Overcast clouds,20.7,-105.2,Container Inn Puerto Vallarta
Tecoanapa,MX,84.13,Broken clouds,16.52,-98.75,Hotel Manglares
Yaan,NG,81.7,Broken clouds,7.38,8.57,
Caibarien,CU,82.4,Scattered clouds,22.52,-79.47,La Nena
Monrovia,LR,78.8,Broken clouds,6.3,-10.8,Eco-Hotel Hall & Restaurant
Lorengau,PG,84.88,Few clouds,-2.02,147.27,Lorengau Harbourside Hotel
Souillac,MU,75.0,Scattered clouds,-20.52,57.52,Bils' Villa
Isabela,PH,87.8,Scattered clouds,6.71,121.97,Isawad Resort
Kieta,PG,85.6,Broken clouds,-6.22,155.63,
Russell,US,75.2,Clear sky,32.35,-85.2,Macs
Itoman,JP,77.0,Broken clouds,26.12,127.67,Southern Beach Hotel & Resort Okinawa
Valle Hermoso,MX,84.2,Haze,25.67,-97.83,MAQUINARIA Y TRANSPORTE DE CARGA
Le Port,RE,75.2,Light intensity drizzle rain,-20.94,55.29,Villa Maido
Wang Noi,TH,86.0,Overcast clouds,14.23,100.72,วังน้อยรีสอร์ท
Gaya,IN,75.2,Thunderstorm,24.78,85.0,Hotel Viraat Inn
Tomigusuku,JP,77.0,Broken clouds,26.18,127.67,DoubleTree by Hilton Hotel Naha
Pangai,TO,84.2,Few clouds,-19.8,-174.35,Ha'apai Beach Resort
Vila Velha,BR,75.2,Broken clouds,-20.33,-40.29,Hotel Vitória Palace
Tutoia,BR,78.96,Overcast clouds,-2.76,-42.27,Pousada Guará's
Oussouye,SN,77.0,Broken clouds,12.48,-16.55,Auberge du Routard
Puerto Colombia,CO,80.6,Scattered clouds,10.99,-74.95,Hotel El Emigrante
Santa Rosa,PH,89.01,Scattered clouds,14.31,121.11,Hungry Soles Studios
Filingue,NE,85.78,Clear sky,14.35,3.32,
Sinnamary,GF,80.01,Broken clouds,5.38,-52.95,ALETHEIA Appartement Sinnamary
Upata,VE,81.45,Broken clouds,8.01,-62.4,Posada Villa Nela
Isangel,VU,82.4,Broken clouds,-19.55,169.27,Volcano Sea View Tree House
Najran,SA,75.2,Broken clouds,17.49,44.13,محمد هادي ال فطيح
Honiara,SB,87.8,Shower rain,-9.43,159.95,Heritage Park Hotel
Knysna,ZA,80.6,Clear sky,-34.04,23.05,Protea Hotel by Marriott Knysna Quays
Malpe,IN,80.6,Few clouds,13.35,74.72,Hotel Sri Krishna Residency
Banda Aceh,ID,79.81,Broken clouds,5.56,95.32,OYO 884 Rumoh PMI Hotel
Doha,QA,75.99,Broken clouds,25.29,51.53,Ezdan Hotel
Pringsewu,ID,76.28,Overcast clouds,-5.36,104.97,Urban Style by Front One
Nieuw Nickerie,SR,80.62,Broken clouds,5.95,-56.98,Ishwardat Inn
Princeton,US,80.6,Clear sky,25.54,-80.41,American Best Inn
